source_question_index,id,variant_index,variant_id,is_original,question,source,outcome,resolved_at,paraphrase_method
0,d2sZ8AIILQ,0,d2sZ8AIILQ::0,True,Military conflict between the US and Venezuela in 2025?,manifold,1,2025-12-31,original
0,d2sZ8AIILQ,1,d2sZ8AIILQ::1,False,Will there be a military conflict between the US and Venezuela during 2025?,manifold,1,2025-12-31,special_case
0,d2sZ8AIILQ,2,d2sZ8AIILQ::2,False,"In 2025, does a US-Venezuela military conflict occur?",manifold,1,2025-12-31,special_case
0,d2sZ8AIILQ,3,d2sZ8AIILQ::3,False,Will the United States and Venezuela enter into military conflict in 2025?,manifold,1,2025-12-31,special_case
0,d2sZ8AIILQ,4,d2sZ8AIILQ::4,False,Does 2025 see military conflict involving both the US and Venezuela?,manifold,1,2025-12-31,special_case
1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,0,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c::0,True,Will OpenAI have the top AI model on December 31?,polymarket,0,2025-12-31,original
1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c::1,False,"On December 31, will OpenAI hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,2,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c::2,False,Will OpenAI be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,3,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c::3,False,Does OpenAI have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
1,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c,4,0xad5642932e897c551def57ddc3066bdea2cf0eb13fc40979c1043743fceb5c9c::4,False,"By the December 31 check, is the top AI model from OpenAI?",polymarket,0,2025-12-31,pattern_will
2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,0,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49::0,True,Will Alibaba have the top AI model on December 31?,polymarket,0,2025-12-31,original
2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,1,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49::1,False,"On December 31, will Alibaba hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49::2,False,Will Alibaba be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,3,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49::3,False,Does Alibaba have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
2,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49,4,0xa7e61311724e5882cf8906d0232ffefef68a0ab64716344d28d066febdda5c49::4,False,"By the December 31 check, is the top AI model from Alibaba?",polymarket,0,2025-12-31,pattern_will
3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,0,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c::0,True,Will DeepSeek have the top AI model on December 31?,polymarket,0,2025-12-31,original
3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,1,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c::1,False,"On December 31, will DeepSeek hold the top AI model position?",polymarket,0,2025-12-31,pattern_will
3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,2,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c::2,False,Will DeepSeek be the company with the top AI model on December 31?,polymarket,0,2025-12-31,pattern_will
3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c::3,False,Does DeepSeek have the leading AI model as of December 31?,polymarket,0,2025-12-31,pattern_will
3,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c,4,0xa6852cb4eaf23193e9dc073471131102017ba31ac9571f5ee8a12c4cc1800d7c::4,False,"By the December 31 check, is the top AI model from DeepSeek?",polymarket,0,2025-12-31,pattern_will
4,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4,0,0x92d98653c47967f7516f20ebc4bc04bf21d59cce083431cdcc9b3eaa0ed2bea4::0,True,Will Anthropic have the second best AI model at the end of December 2025?,polymarket,0,2025-12-31,original
